id,Answer One,ao,Answer Two,at,size
120,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
121,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
122,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
123,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
124,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
125,Data mgmt & data visualizations,dataviz,Data mgmt & data visualizations,dataviz,5
126,Data mgmt & data visualizations,dataviz,Data mgmt & data visualizations,dataviz,5
127,Data mgmt & data visualizations,dataviz,Data mgmt & data visualizations,dataviz,5
128,Data mgmt & data visualizations,dataviz,Data mgmt & data visualizations,dataviz,5
129,Data mgmt & data visualizations,dataviz,AI & machine learning,aiml,5
130,Data mgmt & data visualizations,dataviz,AI & machine learning,aiml,5
131,AI & machine learning,aiml,AI & machine learning,aiml,5
132,AI & machine learning,aiml,AI & machine learning,aiml,5
133,AI & machine learning,aiml,AI & machine learning,aiml,5
134,AI & machine learning,aiml,AI & machine learning,aiml,5
135,AI & machine learning,aiml,AI & machine learning,aiml,5
136,AI & machine learning,aiml,AI & machine learning,aiml,5
137,AI & machine learning,aiml,AI & machine learning,aiml,5
138,AI & machine learning,aiml,AI & machine learning,aiml,5
139,AI & machine learning,aiml,AI & machine learning,aiml,5
140,AI & machine learning,aiml,AI & machine learning,aiml,5
141,AI & machine learning,aiml,AI & machine learning,aiml,5
142,AI & machine learning,aiml,AI & machine learning,aiml,5
143,AI & machine learning,aiml,AI & machine learning,aiml,5
144,AI & machine learning,aiml,AI & machine learning,aiml,5
145,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
146,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
147,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
148,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
149,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
150,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
151,Storytelling &/or game design,sgd,Storytelling &/or game design,sgd,5
152,Principles of Design,pd,Storytelling &/or game design,sgd,5
153,Principles of Design,pd,Storytelling &/or game design,sgd,5
154,Principles of Design,pd,Principles of Design,pd,5
155,Principles of Design,pd,Principles of Design,pd,5
156,Web development coding,wdc,Web development coding,wdc,5
157,Web development coding,wdc,Web development coding,wdc,5
158,Web development coding,wdc,Web development coding,wdc,5
159,Web development coding,wdc,Software & app development,sad,5
160,Web development coding,wdc,Software & app development,sad,5
161,Web development coding,wdc,Software & app development,sad,5
162,Web development coding,wdc,VR/AR development,vrard,5
163,Web development coding,wdc,VR/AR development,vrard,5
164,Web development coding,wdc,VR/AR development,vrard,5
165,Web development coding,wdc,VR/AR development,vrard,5
166,Web development coding,wdc,VR/AR development,vrard,5
167,Web development coding,wdc,VR/AR development,vrard,5
168,Web development coding,wdc,VR/AR development,vrard,5
169,Web development coding,wdc,VR/AR development,vrard,5
170,Web development coding,wdc,VR/AR development,vrard,5
171,Web development coding,wdc,VR/AR development,vrard,5
172,Software & app development,sad,VR/AR development,vrard,5
173,Software & app development,sad,VR/AR development,vrard,5
174,Software & app development,sad,VR/AR development,vrard,5
175,Software & app development,sad,VR/AR development,vrard,5
176,Software & app development,sad,VR/AR development,vrard,5
177,VR/AR development,vrard,VR/AR development,vrard,5
178,VR/AR development,vrard,VR/AR development,vrard,5
179,VR/AR development,vrard,Visual design concepts,vdc,5
180,VR/AR development,vrard,Visual design concepts,vdc,5
181,VR/AR development,vrard,Visual design concepts,vdc,5
182,Visual design concepts,vdc,Visual design concepts,vdc,5
183,Visual design concepts,vdc,Physical Computing,pc,5
184,Visual design concepts,vdc,Physical Computing,pc,5
185,Visual design concepts,vdc,Motion Graphics,mg,5
186,Visual design concepts,vdc,Motion Graphics,mg,5
187,Visual design concepts,vdc,Blockchain technology,bt,5
188,Visual design concepts,vdc,Blockchain technology,bt,5
189,Visual design concepts,vdc,Blockchain technology,bt,5
