id,votes,amount,decade
Design Services,13,6,yes
Digital Design Services,30,6,no
Urban Design,4,6,yes
2D/3D Motion Graphics,11,6,no
Media & Entertainment,6,11,yes
"Art, Theater & Performance",14,6,no
Gaming,10,9,no
Sofware Development,2,6,yes
Web Development,7,6,yes
Cyber Security,4,6,no
Government & Non-profit,1,6,yes
Education,2,11,no
Physical Computing,2,,
